lambda,ER_4,ER_6,BA_4,BA_6
0.0,3.4028236692093934e-06,3.4028236692093934e-06,3.4028236692093934e-06,3.4028236692093934e-06
0.01,1.3600598881686725e-06,2.080985122248951e-06,3.1864273300501037e-07,8.36327859832249e-07
0.02,1.599258383029821e-06,4.5503989128633425e-06,0.0010868401410055663,0.05395841977591605
0.03,3.434169827254801e-06,0.03617267888197405,0.05942887110266362,0.1660322223521622
0.04,0.015771682785122018,0.20679582882607297,0.1317320520789776,0.2655080836493031
0.05,0.12487028338481221,0.32386978009163897,0.20271656462906462,0.34585380886397776
0.06,0.21586577731782894,0.4076151139764285,0.26665154199986,0.4099311148845833
0.07,0.2889659831500979,0.4702300064060456,0.32233701097844464,0.461539021776064
0.08,0.34825733936103703,0.5187381615244713,0.3703641667382971,0.5037329447313503
0.09,0.3971008975395662,0.5573859705268557,0.41180163856720514,0.5387570525631836
0.1,0.43795913485640214,0.588876034654104,0.44771886868794,0.5682358751141109
0.11,0.4726119819922598,0.6150061098429039,0.4790457912215447,0.5933543232906442
0.12,0.5023583526962142,0.6370176821523866,0.5065514721610527,0.6149896274692614
0.13,0.5281617152276012,0.655795513492274,0.5308604854252211,0.6338018995321477
0.14,0.5507495724932879,0.6719872492292639,0.5524778232033993,0.6502960494589952
0.15,0.570680939531557,0.6860779599513023,0.5718125870007259,0.6648641995476343
0.16,0.5883922363733934,0.6984382315971449,0.5891978045553712,0.677815200290809
0.17,0.6042291031642912,0.7093561398471815,0.6049064157417375,0.6893954470185545
0.18,0.61846882673448,0.7190590662741121,0.6191636081269934,0.699803851571197
0.19,0.6313364802650617,0.7277289311384529,0.6321565643371541,0.7092026938336382
0.2,0.6430252915390865,0.7355130522558344,0.6440419493754385,0.7177256750072164
0.21,0.6537567248643481,0.7425320288432832,0.6549517729938441,0.7254839316706383
0.22,0.663580749965896,0.7488855600001679,0.6649980154267833,0.7325705996149657
0.23,0.6725975748466237,0.7546568031573005,0.6742761719201229,0.7390643152883187
0.24,0.680898778118325,0.7599156831437378,0.6828681954152802,0.7450319315633697
0.25,0.6885628027144424,0.7647214355610298,0.6908448555740804,0.750530645542451
0.26,0.6956569828119714,0.7691245837188367,0.6982674607446641,0.755609681457312
0.27,0.7022394583962243,0.7731684912161679,0.705189452822697,0.7603116344750269
0.28,0.7083606967978796,0.7768905929037818,0.7116576082536822,0.7646735468254096
0.29,0.7140647244265915,0.7803233794687113,0.717713043310416,0.7687277890468107
0.3,0.7193901279453585,0.7834951914010653,0.7233920664798934,0.7725027720486297
