lambda,ER_4_mean,ER_4_std_dev,ER_6_mean,ER_6_std_dev,BA_4_mean,BA_4_std_dev,BA_6_mean,BA_6_std_dev
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333333e-07,2.03953970842007e-05
0.02,0.0,0.0,2.3638888888888893e-05,0.00032721467521008206,0.00020690440115440114,0.0016600364364307754,0.021483279950062266,0.021002912797051645
0.03,3.96969696969697e-06,9.003335266093463e-05,0.003918434967809968,0.007057476745715197,0.022391107072973756,0.02032816539102619,0.14469916618303866,0.0170147800271787
0.04,0.0007097741147741148,0.0023229277440401925,0.13257348378742573,0.02690719519790094,0.10085187593485233,0.01876352092266677,0.24657441998411078,0.01600835592507348
0.05,0.018731581931119276,0.016938194858306582,0.2754866579991207,0.01936557066978093,0.17109948367310865,0.016545512285152338,0.3272607818147643,0.01450469076038948
0.06,0.11804220845667635,0.024943748208331614,0.37447536888160077,0.01730687234969449,0.23487795708713008,0.016641619479932212,0.39430341840052147,0.01404602260465354
0.07,0.21627860676864127,0.020319835600204558,0.4457526222202018,0.014720578498484281,0.2917034066004041,0.01482938250494818,0.4469414330196392,0.012719384786324346
0.08,0.2904970363995226,0.018488331376571174,0.500647263549518,0.012936167004068124,0.34182247423790585,0.01478903750562854,0.49244041881983286,0.011412021090058446
0.09,0.34906874584811365,0.016639180669036028,0.5429186375701911,0.012294947936665137,0.38647323696171537,0.01416806012373414,0.5285059286478915,0.011025159513865531
0.1,0.39663913666743394,0.015562174618921341,0.5777210272835147,0.010824416924852302,0.42469442921185446,0.013571831852529682,0.559403562594092,0.009968823747709193
0.11,0.43722604732435033,0.014483998483759425,0.6055558456740198,0.010318580096614903,0.4585327744601519,0.012124341916957451,0.5858541914062687,0.009719264560932405
0.12,0.4722074856460783,0.013595329971313965,0.6290841676411018,0.009360108512886307,0.4873033214140592,0.012061476753720225,0.6090747073199576,0.008987286313102201
0.13,0.5030834253732396,0.012819943880352791,0.6496122020106226,0.008860744478621022,0.5137770999772573,0.011394502167252575,0.6281250813512038,0.008841052123846688
0.14,0.5276409970800287,0.0120923044307711,0.6671131383200859,0.00870275517788505,0.537526799422363,0.011529541281502634,0.6462848719899669,0.008435112463222575
0.15,0.5502818293338356,0.011432010303280525,0.6820555764955933,0.007598382550817996,0.5580961369900166,0.010933558566168126,0.6614791530353047,0.007850359384924042
0.16,0.5707547762672939,0.010750152513603662,0.6946841918932103,0.006905955508027377,0.5768905336193325,0.01029212376496337,0.674164987905527,0.007289811638567138
0.17,0.5880469973010735,0.010063600781994187,0.7068942240552926,0.006500017024411574,0.5942512105723868,0.009426478161278201,0.6866818669487018,0.007336819056306713
0.18,0.6041503285543648,0.009421470622491651,0.7161406464597923,0.006464954869401754,0.6098154922339442,0.009131108790221231,0.6974998422373956,0.006836117568946052
0.19,0.6187388180503706,0.009380893461182494,0.7258000106193802,0.0061909923747449054,0.6236231541820955,0.0091714657607079,0.7072538930106558,0.00674233167064317
0.2,0.6313949433381161,0.008253404652969277,0.7335904120326474,0.005775233882846191,0.6364306051126722,0.008783531775815158,0.7163958870577479,0.006383356291930235
0.21,0.6432429868012964,0.008659262166735593,0.7413340453654604,0.00583038155897165,0.647741374289765,0.008716866727594762,0.7242688624573598,0.005946026412588376
0.22,0.65407616567666,0.00853171931001405,0.7473344098801964,0.0055099986620152155,0.658494681215707,0.00822846545290953,0.7312321805593429,0.005903414778282987
0.23,0.6636322097007811,0.008125662093415595,0.753433727662996,0.005755986254002844,0.6690025967736201,0.007815141868662733,0.7380181190908922,0.005945293007693393
0.24,0.6731362125054168,0.007709015213416789,0.759199804781934,0.004957048904315624,0.6774951250529155,0.007924412590404894,0.744468512590759,0.005717809089690426
0.25,0.681361966629064,0.006894451273829238,0.7640122513603541,0.004935085893531703,0.6860991048066714,0.007394067018656933,0.7497511905397878,0.005901619980659917
0.26,0.6887589472127817,0.007120404412860245,0.7688136798933136,0.005005007011382643,0.6940208272506576,0.007196150645817576,0.7551041985626674,0.005647429963839579
0.27,0.6966602880111302,0.006856805739530837,0.7727030789527739,0.004946246281855544,0.7019245321407752,0.006815457191122769,0.7594654577360419,0.005361543887622056
0.28,0.7029876315622945,0.00696755091559803,0.7765044367332874,0.0047263155107916946,0.7085637710108877,0.0069256913326567375,0.7642337168277558,0.005295050372902856
0.29,0.708722942026885,0.006318628124050611,0.7799916570288372,0.004259247821817904,0.7146292328062817,0.006669077277193183,0.768563770918674,0.005016906211381499
0.3,0.7144489568495229,0.0062877301459928515,0.7831824181745184,0.004422137048214528,0.7210541247781573,0.0062697588897793095,0.7723901032729812,0.004897516498202113
