lambda,realization_1,realization_2,realization_3,realization_4,realization_5,realization_6,realization_7,realization_8,realization_9,realization_10,realization_11,realization_12,realization_13,realization_14,realization_15,realization_16,realization_17,realization_18,realization_19,realization_20,realization_21,realization_22,realization_23,realization_24,realization_25,realization_26,realization_27,realization_28,realization_29,realization_30,realization_31,realization_32,realization_33,realization_34,realization_35,realization_36,realization_37,realization_38,realization_39,realization_40,realization_41,realization_42,realization_43,realization_44,realization_45,realization_46,realization_47,realization_48,realization_49,realization_50
0.11,0.05840000000000001,0.11630769230769232,0.08536363636363635,0.090375,0.1023846153846154,0.07216666666666666,0.12553846153846157,0.0728,0.1,0.06889999999999999,0.10445454545454548,0.126875,0.1337,0.12418181818181818,0.10745454545454547,0.10008333333333334,0.10261538461538462,0.11440000000000002,0.07006666666666667,0.10584615384615385,0.12464285714285714,0.1111,0.09900000000000002,0.13716666666666666,0.1136,0.07581818181818183,0.10600000000000001,0.10307692307692308,0.1014,0.08836363636363637,0.10543750000000002,0.07999999999999999,0.12272727272727274,0.09766666666666667,0.09866666666666668,0.0984,0.07579999999999999,0.08290909090909089,0.12235714285714287,0.1244,0.11127272727272727,0.0985,0.12966666666666668,0.06866666666666667,0.08839999999999999,0.1100909090909091,0.09791666666666667,0.11180000000000001,0.09736363636363636,0.073
0.12,0.147,0.14889999999999998,0.1912727272727273,0.11974999999999998,0.1502,0.1463,0.18100000000000002,0.1675,0.126,0.1665,0.1586153846153846,0.12690476190476194,0.1610909090909091,0.14685714285714285,0.15866666666666665,0.1423333333333333,0.134,0.15041666666666667,0.1406,0.10153333333333334,0.1410909090909091,0.1719,0.15316666666666667,0.15746153846153849,0.15199999999999997,0.1263,0.1651111111111111,0.1262727272727273,0.1857727272727273,0.13854545454545455,0.1413684210526316,0.17072727272727273,0.15739999999999998,0.12083333333333335,0.1376666666666667,0.1421,0.1506428571428571,0.1226,0.16570000000000001,0.15676923076923074,0.13054545454545455,0.15663636363636363,0.1660909090909091,0.1374,0.14024999999999999,0.1395294117647059,0.14372727272727273,0.13640000000000002,0.14379999999999998,0.14745454545454545
0.13,0.18339999999999998,0.1766,0.1983846153846154,0.1721,0.1912857142857143,0.18180000000000002,0.20900000000000005,0.2203636363636364,0.2170625,0.19574999999999998,0.1742,0.24084615384615382,0.21841666666666668,0.1880909090909091,0.19140000000000001,0.1846,0.18546153846153843,0.1816875,0.19219999999999998,0.18129999999999996,0.186,0.18261538461538462,0.20990000000000003,0.17229999999999998,0.21772727272727274,0.22,0.20127272727272727,0.18180000000000002,0.15727272727272726,0.18826666666666667,0.18345454545454548,0.2027857142857143,0.18427272727272728,0.18254545454545454,0.18300000000000002,0.21083333333333334,0.1786875,0.20209090909090913,0.1679090909090909,0.18838461538461537,0.19090909090909092,0.20114285714285715,0.17181818181818181,0.16318181818181818,0.17920000000000003,0.19161538461538463,0.23139999999999997,0.2014166666666667,0.18923529411764706,0.18457142857142855
0.14,0.2189333333333333,0.22600000000000003,0.22618181818181818,0.23485714285714288,0.2306,0.25472727272727275,0.257,0.2468181818181818,0.23181818181818184,0.24688888888888888,0.24683333333333335,0.21736363636363637,0.24020000000000002,0.1930909090909091,0.24336363636363634,0.20425000000000004,0.2201818181818182,0.2455625,0.2243,0.22342857142857148,0.2281666666666667,0.2520769230769231,0.22899999999999998,0.26183333333333336,0.20864285714285713,0.22110000000000002,0.23386666666666667,0.22891666666666668,0.23890909090909096,0.21000000000000005,0.2682727272727272,0.25425000000000003,0.20870000000000002,0.2351,0.2515454545454545,0.25111111111111106,0.20973684210526314,0.22690000000000002,0.2576,0.265625,0.2364166666666667,0.25227272727272726,0.22836363636363635,0.2086,0.22592307692307692,0.22324999999999998,0.24342105263157898,0.22683333333333336,0.2225,0.256
0.15,0.2880588235294117,0.28200000000000003,0.2651818181818182,0.2828333333333333,0.273,0.2752,0.27681818181818185,0.27090909090909093,0.27266666666666667,0.2759090909090909,0.28209090909090906,0.28891666666666665,0.2765,0.292,0.2823333333333333,0.2631,0.287,0.27975,0.26699999999999996,0.2727272727272727,0.2853636363636364,0.2822,0.28263636363636363,0.27486666666666665,0.2732,0.3001538461538462,0.27909090909090906,0.2642,0.274,0.2832,0.2712727272727273,0.2946363636363636,0.2785,0.2773,0.26245454545454544,0.2818461538461538,0.26025,0.2935833333333333,0.24862499999999998,0.29745454545454547,0.26299999999999996,0.2622,0.24939999999999998,0.24345454545454545,0.2786,0.27436363636363637,0.2860909090909091,0.2608181818181818,0.28658333333333336,0.2833636363636364
0.16,0.3173,0.2957222222222222,0.3128,0.3011818181818182,0.30569999999999997,0.3189,0.3025999999999999,0.3135454545454545,0.30460000000000004,0.3308181818181818,0.32581818181818184,0.3105,0.3040999999999999,0.291,0.30836363636363634,0.31,0.3009,0.3045,0.29719999999999996,0.331,0.2815789473684211,0.3165454545454546,0.2877272727272727,0.31384615384615383,0.28475,0.3161818181818182,0.3259090909090909,0.32569230769230767,0.29991666666666666,0.287625,0.306625,0.30569999999999997,0.29281250000000003,0.28781818181818186,0.28884615384615386,0.29481818181818187,0.3103076923076923,0.3185,0.3006666666666667,0.30463636363636365,0.31627272727272726,0.3234166666666667,0.3105454545454545,0.2919,0.31007692307692303,0.2955625,0.3255,0.29359999999999997,0.3205454545454545,0.323
0.17,0.32836363636363636,0.32050000000000006,0.32243750000000004,0.3215,0.3282857142857143,0.3165714285714286,0.3052500000000001,0.32800000000000007,0.34700000000000003,0.34763636363636363,0.33272727272727276,0.3383999999999999,0.3369000000000001,0.34192307692307694,0.3129166666666667,0.3499999999999999,0.3381428571428572,0.31862500000000005,0.33964285714285714,0.3258823529411765,0.3221538461538461,0.33740000000000003,0.3188181818181818,0.32927272727272733,0.3283,0.33052941176470585,0.317,0.3184166666666667,0.3158,0.3134166666666667,0.3501818181818182,0.3286666666666667,0.3412,0.32310000000000005,0.32381818181818184,0.3403529411764706,0.327,0.34754545454545455,0.32827272727272727,0.31430769230769234,0.357,0.32733333333333337,0.32425,0.33999999999999997,0.3377,0.33560000000000006,0.32381818181818184,0.34963636363636363,0.33499999999999996,0.3359090909090909
0.18,0.34708333333333335,0.3437272727272727,0.37163636363636365,0.34685714285714286,0.3714545454545454,0.35050000000000003,0.35085714285714287,0.3725833333333333,0.3485,0.3652,0.36219999999999997,0.3451,0.34518181818181815,0.3404,0.35754545454545456,0.3542777777777778,0.3492,0.37800000000000006,0.37033333333333335,0.3499090909090909,0.36654545454545456,0.34581818181818186,0.3473636363636363,0.3598333333333333,0.36141666666666666,0.356,0.35646153846153844,0.35529999999999995,0.355,0.3727500000000001,0.3405,0.36493749999999997,0.34045454545454545,0.37800000000000006,0.35721428571428576,0.3482727272727273,0.347,0.33825,0.3519,0.347,0.381,0.3461,0.36372727272727273,0.3399,0.36727272727272736,0.3527,0.36978571428571433,0.34259999999999996,0.33433333333333337,0.3597
0.19,0.3593571428571428,0.36700000000000005,0.3725454545454546,0.35275,0.37925000000000003,0.37629999999999997,0.39491666666666664,0.3854545454545455,0.39366666666666666,0.36079999999999995,0.361,0.38533333333333336,0.38320000000000004,0.371,0.39433333333333326,0.37553333333333333,0.3788181818181818,0.3848181818181819,0.38691666666666663,0.38525000000000004,0.35354545454545455,0.3973,0.3766363636363637,0.3917,0.3749230769230769,0.3873333333333333,0.3851,0.36499999999999994,0.39430769230769236,0.37918181818181823,0.3875333333333334,0.3913333333333333,0.3875384615384615,0.3714545454545455,0.3751666666666667,0.3918,0.3755,0.39881818181818185,0.3888,0.3870909090909091,0.40808333333333335,0.3518,0.3816,0.3806363636363636,0.38373333333333337,0.3855454545454545,0.3902,0.37484615384615394,0.3968,0.37376923076923074
0.2,0.4014166666666667,0.3922,0.39261538461538453,0.3926428571428572,0.42350000000000004,0.40700000000000003,0.4135,0.38109090909090904,0.40158333333333324,0.41924999999999996,0.39692307692307693,0.40790000000000004,0.39705882352941174,0.4006923076923077,0.38528571428571423,0.4073333333333333,0.40453846153846157,0.41274999999999995,0.3991818181818182,0.3969090909090909,0.39566666666666667,0.39300000000000007,0.39080000000000004,0.40166666666666667,0.428,0.3678333333333333,0.39109090909090904,0.3839,0.37825,0.38449999999999995,0.38107692307692304,0.37390909090909086,0.37207142857142855,0.3873636363636363,0.39872727272727276,0.4124615384615385,0.41164705882352937,0.4159,0.3855789473684211,0.38309090909090915,0.4035,0.39323076923076916,0.4112,0.4074166666666667,0.3946428571428572,0.39160000000000006,0.3942727272727273,0.41550000000000004,0.39692307692307693,0.4004
